,Name,City,Cuisine Style,Rating,Price Range,Number of Reviews,Reviews
0,La Meduse,Paris,French - Seafood - European - Vegetarian Friendly - Gluten Free Options - Vegan Options,5.0,$$ - $$$,178.0,You cant figure out from the outside the
1,Le Cappiello,Paris,French - Mediterranean - European - Contemporary - Vegetarian Friendly - Vegan Options - Gluten Free Options,5.0,$$ - $$$,208.0,Incredible! - Amazing food - wonderful atmosphere!
2,ASPIC,Paris,French - European - Contemporary,5.0,$$$$,427.0,Second time and just as good - Best dinner in Paris by far
3,Les Apotres de Pigalle,Paris,South American - Brew Pub - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,5.0,$$ - $$$,1152.0,Wonderful culinary experience - Must go restaurant in Paris
4,Epicure,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,5.0,$$$$,2305.0,Very nice place - Speechless
5,Sourire Le Restaurant,Paris,French - European - Contemporary - Gastropub,5.0,$$$$,198.0,Great service - Just excellent
6,Le Cinq,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,1887.0,Breath taking ambience and great service - Grande Birthday Celebration
7,Il Etait Un Square,Paris,French - Steakhouse - Vegetarian Friendly,5.0,$$ - $$$,1600.0,Excellent dining experience - Great burgers
8,Boutary,Paris,French - Seafood - Gastropub - European - Fusion - Vegetarian Friendly - Gluten Free Options,5.0,$$$$,533.0,They will get the star for 2 reasons - A fantastic anniversary dinner
9,Kei Restaurant,Paris,French - Vegetarian Friendly - Gluten Free Options,4.5,$$$$,689.0,Amazing!! - Magnifique
10,Le Gabriel,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,338.0,Perfect Parisian dining for anniversary - Fabulous Dining
11,Bateau le Calife,Paris,French - European - Vegetarian Friendly - Vegan Options,4.5,$$$$,2154.0,Perfect Christmas Eve - Excellent
12,L'Affineur' Affine,Paris,French - European - Vegetarian Friendly,4.5,$$ - $$$,752.0,Awesome place - Delicious
13,La Bonne Excuse,Paris,French - European - Vegetarian Friendly - Gluten Free Options,4.5,$$$$,662.0,Delicious meal charming restaurant - Superb Meal
14,Pur' - Jean-Francois Rouquette,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,841.0,Excellent - Unforgettable experience in a sumptuous re
15,L'Abeille,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,410.0,Perfect - Elegant Restaurant
16,Alliance,Paris,French - Vegetarian Friendly - Vegan Options - Gluten Free Options,5.0,$$$$,267.0,Superb as usual - Perfect
17,Sacree fleur,Paris,French - Steakhouse - European,4.5,$$ - $$$,2471.0,Love this place - Excellent
18,Le 114 Faubourg,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,1386.0,Incredible food and service - Outstanding lunch
19,Restaurant H,Paris,French - European - Vegetarian Friendly - Gluten Free Options,5.0,$$$$,264.0,Outstanding meal  - both innovative and cla
20,Restaurant L'INITIAL,Paris,French - European,4.5,$$$$,295.0,Haute cuisine without the fuss - Wonderful Dinner!
21,Pierre Gagnaire,Paris,French - European - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,805.0,Good not great - The name says it all
22,Etude,Paris,French - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$$$,268.0,Sofisticated Experience - Amazing
