Restaurant Name,Address ;
 La Cucina,36 boulevard Garibaldi  - 75015 Paris France;
Le Reciproque,14 Rue Ferdinand Flocon  - 75018 Paris France;
NA,NA;
Hideout Montparnasse   - FERMÉ,33 rue de la Gaite  - 75014 Paris France;
Umami Matcha Café,22 Rue Beranger  - 75003 Paris France;
Le Pré Salé,22 rue du Moulin des Pres  - 75013 Paris France;
Marlon,159 rue de Grenelle  - 75007 Paris France;
shiki sushi,5 rue Joubert - 75009 Paris France;
La Maison du Saké,11 Rue Tiquetonne - 75002 Paris France;
Enclos De La Croix,18 boulevard Exelmans - 75016 Paris France;
Le Camion Qui Fume,168 rue Montmartre - 75002 Paris France;
Mokonuts,5 rue Saint Bernard - 75011 Paris France;
NA,NA;
La Tour Celeste,15 rue Gerbert - 75015 Paris France;
Alsace Express,112 rue du Faubourg Poissonniere - 75010 Paris France;
L'inconnu,4 rue Pierre Leroux - 75007 Paris France;
Soyouz,11 rue de l Esperance - 75013 Paris France;
Istanbul Gourmand,206 avenue Jean Jaures - 75019 Paris France;
Juicy & Tasty,78 rue la Fayette - 75009 Paris France;
Bistro V,56 Boulevard de Port Royal - 75005 Paris France;
The Place To Eat,246 T rue du Faubourg Saint Antoine - 75012 Paris France;
Le Bergerac Café,13 Rue Notre Dame de Lorette - 75009 Paris France;
Petit Navire,85 rue Julien Lacroix - 75020 Paris France;
NA,NA;
Chez Yanina,19 rue du Faubourg Montmartre - 75009 Paris France;
Boutique Caron,32 rue Notre Dame de Nazareth - 75003 Paris France;
Terre de Crete,17 rue du Rendez Vous - 75012 Paris France;
Pho 135,135 avenue de Choisy - 75013 Paris France;
Maji,5 Rue Francoise Dolto - 75013 Paris France;
Restaurant Simone Lemon,30 Rue le Peletier - 75009 Paris France;
AÏ HSU Table,16 Rue Saint Sebastien - 75011 Paris France;
NA,NA;
Marius,186 rue Ordener - 75018 Paris France;
Health Inside,30 Rue Charlot - 75003 Paris France;
Big Buddha,17 Rue Bois le Vent - 75016 Paris France;
PI HOUR Batignolles,16 rue Jacquemont - 75017 Paris France;
La Boucherie Végétarienne,15 rue d Aligre - 75012 Paris France;
Comics Burger,10 rue des Saints Peres - 75007 Paris France;
Le Paradox,1 rue Ampere - 75017 Paris France;
NA,NA;
Spirit Of St Louis,64 rue Reaumur - 75003 Paris France;
Mcdonald’s,88 - bis Av Parmentier et Av de la République - 75011 Paris France;
Le vent d'Armor,25 Quai De La Tournelle - 75005 Paris France;
Sources Local & Fresh,51 rue des Mathurins - 75008 Paris France;
La Bonne Franquette,1 Rue Georges Frisez - 77124 Paris France;
La Demesure,43 rue du Faubourg Montmartre - 75009 Paris France;
La Ménagerie,90 Boulevard de l'Hôpital - 75013 Paris France;
Huguette Bistro de la mer,81 - rue de Seine - 75006 Paris France;
Tom Yam Thai,250 rue de la Convention Place Charles Vallin - 75015 Paris France;
Fuji Tomy,32 boulevard Pereire - 75017 Paris France;
Les Moussaillons,139 rue Cardinet - 75017 Paris France;
Le Mistral Gagnant,2 rue Saint Mathieu - 75018 Paris France;
La Trattoria Di Gio,8 rue de la Petite Truanderie - 75001 Paris France;
Kaplan's  - FERMÉ,107 rue Manin - 75019 Paris France;
Starbucks,Place du 11 Novembre 1918 Gare de l'Est - 75010 Paris France;
Maison Gaumer,31 rue Monge - 75005 Paris France;
NA,NA;
Dunn's  - FERMÉ,25 rue d Assas - 75006 Paris France;
Mamie Burger Faubourg Saint Denis,75 Rue du Faubourg Saint Denis - 75010 Paris France;
La Gouttiere,96 avenue Parmentier - 75011 Paris France;
La Empanaderia,Rue Marie et Louise The Asado Club - Paris France;
NIRVANA DREAM,42 rue Saint Georges - 75009 Paris France;
Super Cocotte,41 rue la Fayette - 75009 Paris France;
Tayim,9 Rue Gustave Zédé - 75016 Paris France;
L'orange Mecanique,72 B rue Jean Pierre Timbaud - 75011 Paris France;
Amami,12 rue Jean Mace - 75011 Paris France;
Chez Bouboule,46 rue d’Argout - 75002 Paris France;
Wine & Dine,29 rue Victor Masse - 75009 Paris France;
Baguettes Royales,17 rue Jean Giraudoux - 75116 Paris France;
L'Artisan Libanais,91 rue de Belleville - 75019 Paris France;
Naturathéra,85 rue de la Verrerie - 75004 Paris France;
Paul,7 -9 Place Denfert -Rochereau - 75014 Paris France;
Le Mellotron,6 - Rue Beaurepaire - 75010 Paris France;
Malins Fish and Chips,11 rue Tronchet - 75008 Paris France;
Ippudo,14 Rue Grégoire de Tours - 75006 Paris France;
Meriggio,3 Rue Rougemont - 75009 Paris France;
Dokkebi,121 Rue Raymond Losserand - 75014 Paris France;
Misurati,71 rue Guy Moquet Épicerie fine table d'hotes - 75017 Paris France;
Le Fleurus,2 rue de Fleurus - 75006 Paris France;
Lemon,43 rue des Petits Carreaux - 75002 Paris France;
Club Des Poetes,30 rue de Bourgogne - 75007 Paris France;
L'Ebauchoir,43 rue Citeaux - 75012 Paris France;
la consigne,2 B rue de Lyon - 75012 Paris France;
Il FarNiente,2 avenue Paul Adam Place Paul Leautaud - 75017 Paris France;
NA,NA;
Dindon Dandy,4 Rue de Paradis - 75010 Paris France;
Kintaro,106 Boulevard de Rochechouart - 75018 Paris France;
Creperie Framboise,51 avenue de la Motte Picquet - 75015 Paris France;
La Cantine Fabien,5 Place du Colonel Fabien - 75010 Paris France;
La Phyliale,12 Rue Bayen - 75017 Paris France;
La Pagode de Cos,42 Avenue Gabriel - 75008 Paris France;
Le 53m2 Chez toi ou chez moi,30 avenue Parmentier - 75011 Paris France;
A toute vapeur,63 rue d Argenteuil - 75001 Paris France;
Les Arlots,136 rue du Faubourg Poissonniere - 75010 Paris France;
PAUL,17 Boulevard De Vaugirard Hall 1 - niveau 0 - espace Vasarely - 75015 Paris France;
aki,11 B rue Sainte Anne - 75001 Paris France;
NA,NA;
Chocoline,24 rue Jean Mermoz - 75008 Paris France;
NA,NA;
Le Pain Quotidien,108 Rue Saint -Lazare Hotel Hilton Paris Opera - 75008 Paris France;
Lauretta Belleville,46 boulevard de la Villette - 75019 Paris France;
NA,NA;
Le 54,rue Godefroy Cavaignac - 75011 Paris France;
Cœur de Breizh,53 Rue Martyrs - 75009 Paris France;
Ujja,47 rue Gay Lussac - 75005 Paris France;
Creperie Bretonne Fleurie,67 rue de Charonne - 75011 Paris France;
e -da  - FERMÉ,62 rue des Entrepreneurs - 75015 Paris France;
Café Charlot,38 rue de Bretagne - 75003 Paris France;
Pâtisserie Demoncy -Vergne,10 rue du Jourdain - 75020 Paris France;
Cafe 347 Lecourbe,347 rue Lecourbe - 75015 Paris France;
Patisserie Nanan,38 rue Keller - 75011 Paris France;
Bonnie,9 rue des Récollets - 75010 Paris France;
NA,NA;
Popine,108 Boulevard de Ménilmontant - 75020 Paris France;
NA,NA;
Le Brebant,32 Boulevard Poissonnière - 75009 Paris France;
NA,NA;
sumo,7 Rue du Sommerard - 75005 Paris France;
Paris Beirut,242 Rue Tolbiac - 75013 Paris France;
Le Souk,1 rue Keller - 75011 Paris France;
NA,NA;
Vingt -Deux,22 avenue George V - 75008 Paris France;
Chez Simonne,8 rue d Artois - 75008 Paris France;
La boissonnière,17 rue Poissonniere - 75002 Paris France;
Chez Matthieu,8 Rue Hanovre - 75002 Paris France;
Hao Long,36 - Rue de Richelieu - 75001 Paris France;
César & Paul,49 rue Benard - 75014 Paris France;
Bistrot Le Square,7 Square Bolivar - 75019 Paris France;
Cojean Madeleine,6 Rue de Sèze - 75009 Paris France;
Au Trappiste,4 Rue St Denis - 75001 Paris France;
NA,NA;
Food Breizh,Promenade des berges de Seine Pont de la Concorde - 75007 Paris France;
Starbucks,108 boulevard Haussmann - 75008 Paris France;
Le P'Tit Cou De La Girafe  - FERMÉ,3 Rue Froment - 75011 Paris France;
Le Mai Vietnam,1 rue Edouard Robert - 75012 Paris France;
Flam's,62 rue des Lombards - 75001 Paris France;
Aux Delices De Paris Reuilly,33 rue de Reuilly - 75012 Paris France;
The Great Canadian Pub,25 quai des Grands Augustins - 75006 Paris France;
Animal Kitchen,200 Quai de Valmy - 75010 Paris France;
231 East Street,32 Avenue Du Maine - 75015 Paris France;
Le Special,35 rue de la Jonquiere - 75017 Paris France;
Delawells Crêpes,12 rue d Auteuil - 75016 Paris France;
Prêt À Manger Sacré Coeur,3 rue de Steinkerque - 75018 Paris France;
Dragon et Phenix,71 rue des Gravilliers - 75003 Paris France;
Les Petits Crus,13 rue Saint Sabin - 75011 Paris France;
Atmosphere,49 Rue Lucien Sampaix - 75010 Paris France;
La Bottega 131  - FERMÉ,131 Rue de Vaugirard - 75015 Paris France;
Pasta e Fagioli,82 rue Claude Bernard - 75005 Paris France;
NA,NA;
La Table du Luxembourg,Jardin du Luxembourg Situé près de l'entrée Fleurus  - 7 rue Guynemer - 75006 Paris France;
Xu Longhuan,51 boulevard Voltaire - 75011 Paris France;
Dr Feelgood les Halles  - FERMÉ,37 Rue Quincampoix - 75004 Paris France;
Les Artizans,30 Rue Montorgueil - 75001 Paris France;
Restaurant Hêvî,168 Boulevard Vincent Auriol - 75013 Paris France;
Le comptoir des archives,41 rue des Archives - 75004 Paris France;
Le Mandarin,5 rue de Montfaucon - 75006 Paris France;
Vapiano Champs -Elysées  - FERMÉ,36 Rue Marbeuf - 75008 Paris France;
Fosca',19 - Boulevard Diderot - 75012 Paris France;
Wok Store Paris,4 rue de Port Mahon - 75002 Paris France;
Creperie du parc Montsouris,Gazan et reille Parc Montsouris paris 14 - 75014 Paris France;
Monts et Rizieres,105 Rue Monge - 75005 Paris France;
Lafleurdelice,34 avenue des Champs Elysees - 75008 Paris France;
NA,NA;
Caravelle Saigon,104 avenue de Choisy - 75013 Paris France;
Fichon,98 rue Marcadet Angle rue Ramey - 75018 Paris France;
L'Atelier des Guillemites  - Restaurant  - Antiquaire  - Salon de thé,3 Rue des Guillemites - 75004 Paris France;
One More Sushi,28 Rue Jean Baptiste Pigalle - 75009 Paris France;
Crêperie Mad'eo,14 rue de Cadix - 75015 Paris France;
Koetsu,42 rue Sainte Anne - 75002 Paris France;
Berthillon,31 Rue St. -Louis -en -l'Île - 75004 Paris France;
Banhmila,21 Rue des Dames - 75017 Paris France;
Abribus Café,56 rue de Bagnolet - 75020 Paris France;
NA,NA;
MORABEZA,61 Rue de l'Amiral Mouchez 75013 Paris - 75013 Paris France;
Deli Drop,16 Esplanade Nathalie Sarraute - 75018 Paris France;
NA,NA;
Cafe Jade,10 rue de Buci - 75006 Paris France;
Yaki Shop,15 rue du Roule - 75001 Paris France;
NA,NA;
El Juanchito,69 rue de la Folie Regnault - 75011 Paris France;
Couscous Maison Arc en Ciel,49 Rue de Tolbiac - 75013 Paris France;
Hak Yolu,13 boulevard Saint Martin - 75003 Paris France;
NA,NA;
NA,NA;
Mezzé De Beyrouth,38 rue de l ouest - 75014 Paris France;
Hua Dong,35 rue Beaubourg - 75003 Paris France;
NA,NA;
Le P'tit Ministère,29 Avenue De Segur - 75007 Paris France;
Le Vestibule Café,40 Rue Sedaine - 75011 Paris France;
Augusto Pizzeria,14 Rue Victor Masse - 75009 Paris France;
Chez Chung,49 boulevard Gouvion Saint Cyr - 75017 Paris France;
Bagelstein,2 rue de Moscou - 75008 Paris France;
Richart,27 rue Bonaparte Métro Saint -Germain -Des -Prés - 75006 Paris France;
Paris French Cantine,8 Rue Du Pere Guerin - 75013 Paris France;
Le Notre Dame,1 quai Saint Michel - 75005 Paris France;
NA,NA;
NA,NA;
Starbucks,77 rue Rambuteau - 75001 Paris France;
NA,NA;
Les Tables d'Augustin,44 rue Guy Moquet - 75017 Paris France;
Le 17.45,45 Rue des Dames - 75017 Paris France;
Maison Healthy  - FERMÉ,24 rue de la Banque 75002 Paris - 75002 Paris France;
Class'Croute  - FERMÉ,41 Avenue Kléber - 75116 Paris France;
LA CARAVANE PASSE,100 Rue Damrémont - 75018 Paris France;
CHEZ DING,15 Rue Lamartine - 75005 Paris France;
NA,NA;
Chez Taeko,39 rue de Bretagne - 75003 Paris France;
Cafe Suedois,11 rue Payenne - 75003 Paris France;
Chez Bob de Tunis,10 rue Richer - 75009 Paris France;
Café L' Imprimerie,29 Rue Coquillière - 75001 Paris France;
Le Gallia,39 - rue Saint -Ambroise angle rue Saint -Maur - 75011 Paris France;
La Table de l'Ébéniste,75 rue Boursault - 75017 Paris France;
Marco Polo,1 rue Saint -Sulpice - 75006 Paris France;
Amarena Ristorante,88 -90 Rue Mouffetard Quartier Latin - 75005 Paris France;
l'Estaminet Aromes & Cepages,39 rue de Bretagne - 75003 Paris France;
Auberge St Antoine  - FERMÉ,243 Rue du Faubourg Saint Antoine - 75011 Paris France;
Casa Gardelli,65 Rue de Chabrol - 75010 Paris France;
Yamakawa,70 rue Pierre Demours - 75017 Paris France;
La Bocca,59 rue Montmartre - 75002 Paris France;
Sushi Cherie,13 boulevard Auguste Blanqui - 75013 Paris France;
Vila real,10 Rue de Domremy - 75013 Paris France;
Sushi L.j,17 rue Guy Moquet - 75017 Paris France;
NA,NA;
Umi,119 bis rue Cardinet - 75017 Paris France;
Bagelstein  - FERMÉ,102 Rue Montmartre - 75002 Paris France;
Au P'tit Comptoir,55 Rue Reaumur - 75002 Paris France;
SOYA,20 rue de la Pierre Levee - 75011 Paris France;
Mavrommatis  - FERMÉ,1 - Le Palais des congrés 2 Place de la Porte Maillot - 75017 Paris France;
Pâtisserie Viennoise,8 Rue de l'École de Médecine - 75006 Paris France;
ELSE,49 - Rue Berger - 75001 Paris France;
Sushi Sun,118 rue des Entrepreneurs - 75015 Paris France;
Jiso,13 Rue du Vertbois - 75003 Paris France;
Restaurant Le Sarrasin,61 Grande Rue - 93250 Villemomble France;
Thevenin Saint Placide,5 rue Notre Dame des Champs - 75006 Paris France;
Super Vegan,118 Rue Des Moines - 75017 Paris France;
The Hardware Societe,10 rue Lamarck - 75018 Paris France;
Wanted Restaurant Italien,46 bis rue de Meaux Halle Secretan - 75019 Paris France;
Bubble My Tea,5 Rue de Mirbel Métro ligne 7 station Censier Daubenton - 75005 Paris France;
Virtus,29 rue de Cotte - 75012 Paris France;
Les Demoiselles,76 Rue de Charonne - 75011 Paris France;
Brasserie Tabac Saint Germain,120 rue de Bagnolet - 75020 Paris France;
Showcolat,21 Rue de Rochechouart - 75009 Paris France;
top sushi,54 rue Monsieur le Prince - 75006 Paris France;
